id_monitor,timestamp,cpu_percent,ram_percent,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec,bpm_status,pa_status,spo2_status,resp_status,temperatura_status,pic_status,pvc_status,ecg_status,etco2_status
1,27-04-2026 19_31_04,36.6,47.2,24.2,3338.9314001657,2388.384026512013,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_32_10,41.8,61.5,24.2,14023.51188069594,1265817.9241756422,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_33_16,54.3,50.2,24.2,122.43625517812758,176.63797845898924,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_34_22,46.6,49.5,24.2,7560.000231980115,561994.5145650373,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_35_28,49.7,49.7,24.2,11910.346313173157,1405012.6856338028,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_36_34,48.1,54.9,24.2,13030.51526097763,1554899.745617233,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_37_40,57.4,53.7,24.2,21469.84636288318,1998628.555724938,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_38_46,46.4,58.9,24.2,10628.62465617233,1272727.503728252,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_39_52,48.2,58.8,24.2,36.1344821872411,36.1344821872411,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_40_59,45.4,53.9,24.2,2020.8998508699253,1566.587671913836,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
1,27-04-2026 19_42_06,58.6,54.3,24.2,20723.12553438277,2581046.595360398,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_43_12,49.1,49.0,24.2,161.37729908864955,207.33474730737365,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_44_18,45.4,61.4,24.2,50.342700911350455,77.35585749792875,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_45_24,33.2,55.9,24.1,1027.9032311516155,148.74777133388565,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_46_30,20.9,53.6,24.1,85.95095277547638,264.1676222038111,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_47_36,22.9,59.0,24.1,2511.346512013256,1414.331698425849,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_48_42,58.3,56.4,24.1,1117.0115658657828,801.7996023198012,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_49_48,41.9,55.6,24.1,1374.864424192212,1686.0419552609776,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_50_54,49.6,54.6,24.1,8425.649113504556,691900.6091797847,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_52_00,52.1,55.6,24.1,283452.7356752278,15902.855774647887,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_53_07,54.4,56.1,24.1,123074.39714995858,260424.54591549296,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_54_13,58.8,56.2,24.1,396149.87085335545,244332.94886495444,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_55_19,57.3,59.2,24.1,442811.94147473073,1110110.0551781275,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_56_26,53.8,55.8,24.1,26054.891168185586,261106.0141839271,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_57_32,62.0,50.1,24.1,16796.921093620545,6995.179685169843,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_58_38,38.0,49.9,24.1,12229.241888980945,246885.6921623861,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 19_59_44,32.5,50.5,24.1,16547.312510356256,255609.36304888153,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
1,27-04-2026 20_00_50,46.7,54.6,24.1,38202.11698425849,298745.6352609776,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo,Inativo
