id_monitor,timestamp,cpu_percent,ram_percent,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec,bpm_status,pa_status,spo2_status,resp_status,temperatura_status,pic_status,pvc_status,ecg_status,etco2_status
5,29-04-2026 10_36_35,26.77963064,25.96162276,36.3,24.91943662,151.1418004,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Ativo
5,29-04-2026 10_37_02,14.61026645,24.18318021,36.3,730.7644076,1054.061309,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Inativo,Ativo
5,29-04-2026 10_37_29,19.05936851,25.22739461,36.3,129.4584691,191.571733,Ativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
5,29-04-2026 10_37_55,18.35070238,26.34552101,36.3,133.6639804,278.1054746,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo,Ativo
5,29-04-2026 10_38_23,9.474749939,21.05650885,36.3,100.5911469,286.9950905,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo
5,29-04-2026 10_38_50,6.973808169,20.50748246,36.3,65.8159283,606.2040461,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Inativo
5,29-04-2026 10_39_16,17.5144252,24.03142879,36.3,210.9472742,261.1526098,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
5,29-04-2026 10_39_43,20.10927527,26.76737515,36.3,31.70670423,98.03830986,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
5,29-04-2026 10_40_10,20.90191274,23.2161882,36.3,71.08597183,210.4052958,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo
5,29-04-2026 10_40_37,21.064427,22.72441968,36.3,69.44653521,397.9896338,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
5,29-04-2026 10_41_03,15.75546761,23.68580686,36.3,296.0494648,213.0447887,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
5,29-04-2026 10_41_29,17.16073573,23.74950956,36.3,136.5151745,111.5244581,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo
5,29-04-2026 10_41_56,17.62862132,24.81854332,36.3,42.18173985,116.4192875,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Inativo,Ativo
5,29-04-2026 10_42_23,12.2805122,25.16956227,36.3,45.78850041,179.1614913,Ativo,Ativo,Inativo,Ativo,Inativo,Inativo,Inativo,Ativo,Ativo
5,29-04-2026 10_42_50,13.3269558,23.97175961,36.3,32.13295775,162.7864126,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Inativo
5,29-04-2026 10_43_17,23.63879546,27.24134498,36.3,29.49560318,174.2364727,Ativo,Ativo,Inativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
5,29-04-2026 10_43_43,25.12016901,28.56020212,36.3,31.37629469,210.2136078,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo,Ativo
5,29-04-2026 10_44_11,13.62525262,21.55832093,36.3,207.3887324,346.5300604,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Inativo,Ativo,Inativo
