usuario,dtIni,dfFin,PicoCPU,PicoRam,PicoMem,MediaCPU,MediaRam,MediaMem,PicoVelEnvio,MedVelEnvio,PicoVelReceb,MediaVelReceb
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-03-21 16:12:47,2026-03-21 16:12:47,0.5%,53.15%,25.8%,0.5%,8.86%,25.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
maria-maia,2026-04-08 13:22:33,2026-04-08 13:22:33,1.9%,61.47%,25.9%,1.9%,10.24%,25.9%,0.03Mbps,0.03Mbps,0.01Mbps,0.01Mbps
