user,timestamp,cpu_percent,ram_used_gb,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec
gusta,2026-04-07 18:45:14.016811,16.6,10.82,70.9,319.6,259.0
gusta,2026-04-07 18:45:25.051938,21.9,10.84,70.9,51.2,89.6
gusta,2026-04-07 18:45:36.089996,12.4,10.78,70.9,611.2,940.6
gusta,2026-04-07 18:45:47.123038,7.4,10.79,70.9,15.0,32.0
gusta,2026-04-07 18:45:58.157149,17.2,10.81,70.9,32.2,32.8
gusta,2026-04-07 18:46:09.187108,9.0,10.86,70.9,20.4,34.4
gusta,2026-04-07 18:46:20.216667,6.8,10.81,70.9,443.6,362.4
gusta,2026-04-07 18:46:31.248375,43.4,10.8,70.9,65605.0,121149.8
gusta,2026-04-07 18:46:42.288087,18.7,11.36,70.9,13357.8,9893.0
gusta,2026-04-07 18:46:53.325808,11.3,10.76,70.9,6761.8,3825.6
gusta,2026-04-07 18:47:04.351295,13.9,10.68,70.9,67.8,98.0
gusta,2026-04-07 18:47:15.373616,17.8,10.7,70.9,113.4,94.4
gusta,2026-04-07 18:47:26.390609,9.0,10.68,70.9,0.0,0.0
