user,timestamp,cpu_percent,ram_percent,ram_used_gb,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec
diegohenrique,2026-04-08 17:47:11.576525,13.2,43.8,5.49,19.9,4184.8,1770.6
diegohenrique,2026-04-08 17:47:22.581200,31.7,43.5,5.45,19.9,781.2,1447.6
diegohenrique,2026-04-08 17:47:33.586759,21.7,43.4,5.44,19.9,408.8,524.2
diegohenrique,2026-04-08 17:47:44.590878,7.3,42.5,5.32,19.9,1098.4,2781.2
diegohenrique,2026-04-08 17:47:55.594195,38.1,42.4,5.29,19.9,4104.4,4057.6
diegohenrique,2026-04-08 17:48:06.598318,20.9,42.6,5.33,19.9,4331.4,24224.4
diegohenrique,2026-04-08 17:48:17.602612,25.8,42.8,5.34,19.9,1268.0,1899.8
diegohenrique,2026-04-08 17:48:28.605815,6.4,43.0,5.38,19.9,724.6,337.8
diegohenrique,2026-04-08 17:48:39.609940,44.8,42.9,5.35,19.9,257.2,339.4
diegohenrique,2026-04-08 17:48:50.614236,3.5,42.3,5.29,19.9,5368.2,5921.4
diegohenrique,2026-04-08 17:49:01.619397,6.3,41.7,5.2,19.9,79.4,70.6
diegohenrique,2026-04-08 17:49:12.622947,4.5,41.7,5.21,19.9,128.6,176.2
diegohenrique,2026-04-08 17:49:23.627199,22.1,41.8,5.21,19.9,987.6,1472.6
diegohenrique,2026-04-08 17:49:34.630214,38.9,42.1,5.25,19.9,828.6,7577.6
diegohenrique,2026-04-08 17:49:45.633618,3.3,42.3,5.28,19.9,1357.4,3572.2
diegohenrique,2026-04-08 17:49:56.637534,24.4,42.3,5.27,19.9,2885.4,2640.6
diegohenrique,2026-04-08 17:50:07.642177,3.3,41.8,5.21,19.9,2537.0,1591.6
diegohenrique,2026-04-08 17:50:18.647161,24.5,41.9,5.23,19.9,33.2,29.2
diegohenrique,2026-04-08 17:50:29.650670,39.3,42.3,5.27,19.9,9727.2,348853.6
diegohenrique,2026-04-08 17:50:40.655109,18.8,42.7,5.32,19.9,3111.8,2576.2
diegohenrique,2026-04-08 17:50:51.659656,19.8,42.2,5.25,19.9,2146.8,1568.8
diegohenrique,2026-04-08 17:51:02.665568,7.8,42.0,5.23,19.9,34.8,29.2
diegohenrique,2026-04-08 17:51:13.670612,29.5,42.1,5.24,19.9,149.0,257.0
diegohenrique,2026-04-08 17:51:24.675915,1.8,42.1,5.24,19.9,1197.8,1665.4
diegohenrique,2026-04-08 17:51:35.680223,23.1,42.4,5.29,19.9,188.4,236.2
diegohenrique,2026-04-08 17:51:46.684675,28.6,42.4,5.3,19.9,829.8,3525.2
diegohenrique,2026-04-08 17:51:57.690013,28.0,41.8,5.23,19.9,163.2,147.4
diegohenrique,2026-04-08 17:52:08.694581,2.0,41.7,5.21,19.9,2393.6,2669.0
diegohenrique,2026-04-08 17:52:19.700976,11.1,41.8,5.23,19.9,1291.4,7841.0
diegohenrique,2026-04-08 17:52:30.706588,60.3,42.7,5.34,19.9,5954.8,6317.2
diegohenrique,2026-04-08 17:52:41.710067,18.7,42.7,5.36,19.9,33222.4,9274.2
diegohenrique,2026-04-08 17:52:52.714279,15.1,42.6,5.34,19.9,18.2,320.4
