user,timestamp,cpu_percent,ram_percent,ram_used_gb,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec
Pedro Sousa,2026-04-08 18:00:57.228860,7.7,98.8,15.73,94.9,18944.8,449758.8
Pedro Sousa,2026-04-08 18:01:08.284341,9.9,97.7,15.55,94.9,8398.8,4872.2
Pedro Sousa,2026-04-08 18:01:19.305068,14.8,98.2,15.64,94.9,77032.0,573952.8
Pedro Sousa,2026-04-08 18:01:30.327465,5.8,98.2,15.63,94.9,13170.2,14401.6
Pedro Sousa,2026-04-08 18:01:41.356725,6.8,98.2,15.64,94.9,57734.0,413899.2
Pedro Sousa,2026-04-08 18:01:52.383822,8.0,98.5,15.68,94.9,77073.6,846336.8
Pedro Sousa,2026-04-08 18:02:03.423285,9.8,99.1,15.79,94.9,36368.4,753577.6
Pedro Sousa,2026-04-08 18:02:14.456481,6.7,98.5,15.68,94.9,26591.8,66892.2
Pedro Sousa,2026-04-08 18:02:25.487361,6.6,96.5,15.36,94.9,7587.2,3248.4
Pedro Sousa,2026-04-08 18:02:36.514074,6.0,96.3,15.34,94.9,47321.2,1584250.4
Pedro Sousa,2026-04-08 18:02:47.533509,14.0,96.9,15.43,94.9,44712.4,954345.4
Pedro Sousa,2026-04-08 18:02:58.557334,11.4,98.3,15.66,94.9,46766.6,723626.8
Pedro Sousa,2026-04-08 18:03:09.590320,5.5,98.3,15.65,94.9,27287.2,658807.4
Pedro Sousa,2026-04-08 18:03:20.618916,15.0,93.4,14.87,94.9,39017.4,1135712.6
Pedro Sousa,2026-04-08 18:03:31.645305,6.6,95.3,15.18,94.9,11992.6,8050.0
Pedro Sousa,2026-04-08 18:03:42.667091,9.3,92.5,14.74,94.9,7018.6,4548.4
Pedro Sousa,2026-04-08 18:03:53.687075,9.1,92.2,14.68,94.9,5925.2,6146.8
