usuario,dtIni,dfFin,PicoCPU,PicoRam,PicoMem,MediaCPU,MediaRam,MediaMem,PicoVelEnvio,MedVelEnvio,PicoVelReceb,MediaVelReceb,PicoTemp,MediaTemp
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:27,49.6%,86.39%,56.8%,49.6%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:27,2026-03-06 10:35:37,82.3%,86.78%,56.8%,63.23%,1.44%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:35:37,2026-03-06 10:35:37,82.3%,86.78%,56.8%,82.3%,1.45%,56.8%,0.0Mbps,0.0Mbps,0.0Mbps,0.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:40:02,2026-03-06 10:40:02,70.1%,84.85%,56.8%,70.1%,1.41%,56.8%,49805.0Mbps,49805.0Mbps,85117.0Mbps,85117.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:40:02,2026-03-06 10:40:02,70.1%,84.85%,56.8%,70.1%,1.41%,56.8%,49805.0Mbps,49805.0Mbps,85117.0Mbps,85117.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:40:02,2026-03-06 10:40:02,70.1%,84.85%,56.8%,70.1%,1.41%,56.8%,49805.0Mbps,49805.0Mbps,85117.0Mbps,85117.0Mbps,SysUnsurpC,SysUnsurpC
muril,2026-03-06 10:40:02,2026-03-06 10:40:02,70.1%,84.85%,56.8%,70.1%,1.41%,56.8%,49805.0Mbps,49805.0Mbps,85117.0Mbps,85117.0Mbps,SysUnsurpC,SysUnsurpC
